x,y,theta
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
2.5,1,3.1415
