x,y,theta
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
-10,3,0
